col,qt_missing,qt_diversity,qt_max_row_class,pr_missing,pr_diversity,pr_max_row_class
cause_feature_id,192725,4,140,0.9985492603818554,2.072485168778011e-05,0.0007253698090723039
cause_structure_action_id,192984,10,7,0.9998911945286392,5.1812129219450276e-05,3.626849045361519e-05
pillar_id,192967,5,16,0.999803113908966,2.5906064609725138e-05,8.289940675112044e-05
cause_countermeasure_id,192731,22,43,0.9985803476593871,0.0001139866842827906,0.00022279215564363617
cause_type_id,192725,12,79,0.9985492603818554,6.217455506334033e-05,0.00040931582083365717
functional_failure,192705,289,4,0.9984456361234165,0.001497370534442113,2.072485168778011e-05
damage_type_id,189719,3,2215,0.9829745343384887,1.5543638765835083e-05,0.011476386622108236
breakdown_typology_id,192722,8,155,0.9985337167430895,4.144970337556022e-05,0.0008030880029014793
cilr,181445,3,11553,0.9401051786223155,1.5543638765835083e-05,0.0598585528872309
pm,181445,3,11361,0.9401051786223155,1.5543638765835083e-05,0.05886376000621746
has_tag,181445,3,11511,0.9401051786223155,1.5543638765835083e-05,0.05964094194450921
tag_number,192924,76,3,0.9995803217533225,0.00039377218206782205,1.5543638765835083e-05
severity_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
probability_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
detection_of_failure_id,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
rpn,193004,2,1,0.9999948187870781,1.0362425843890055e-05,5.181212921945027e-06
what,192722,274,4,0.9985337167430895,0.0014196523406129376,2.072485168778011e-05
when,192722,180,56,0.9985337167430895,0.0009326183259501049,0.00029014792362892154
who,192722,106,104,0.9985337167430895,0.0005492085697261728,0.0005388461438822829
why,192705,185,95,0.9984456361234165,0.00095852439055983,0.0004922152275847776
how,192722,283,2,0.9985337167430895,0.0014662832569104427,1.0362425843890055e-05
maint_order_on_hold_reason_id,192912,14,27,0.9995181471982592,7.253698090723039e-05,0.00013989274889251573
performed_worktime,0,22660,39959,0.0,0.11740628481127433,0.20703608714800134
estimated_worktime,0,2558,107711,0.0,0.01325354265433538,0.5580736250356209
is_security_item,0,2,191699,0.0,1.0362425843890055e-05,0.9932333359239398
attached_at,192930,36,18,0.9996114090308541,0.00018652366519002097,9.326183259501049e-05
performed_asset_downtime,0,948,186488,0.0,0.004911789850003886,0.9662340353876843
is_scheduled,0,2,178857,0.0,1.0362425843890055e-05,0.9266961995803218
has_resupply_general_req,0,2,192929,0.0,1.0362425843890055e-05,0.9996062278179322
is_vehicle,0,1,193005,0.0,5.181212921945027e-06,1.0
maint_order_activities_type,0,2,125740,0.0,1.0362425843890055e-05,0.6514857128053677
tag_id,192971,33,2,0.9998238387606538,0.0001709800264241859,1.0362425843890055e-05
executed_service_historic,77872,97772,1211,0.40347141265770314,0.5065775498044092,0.006274448848475428
executed_service_failure_analysis,136803,39916,1211,0.7088054713608456,0.2068132949923577,0.006274448848475428
